,title,price,imageCount,imageUrl
0,Lexus ES 2015 Black,"₦ 4,950,000",9,https://jiji.ng/surulere/cars/lexus-es-2015-black-jOlqAZUEiiYiNCiP0od4Hs3L.html
1,Mercedes-Benz C300 2008 Black,"₦ 1,900,000",10,https://jiji.ng/gwarinpa/cars/mercedes-benz-c300-2008-black-3WQVBf0OP1UcJa1mXW5uagdb.html
2,Toyota Camry 2018 Silver,"₦ 8,800,000",6,https://jiji.ng/ojota/cars/toyota-camry-2018-silver-zw0u0ttCSL3N0AjDJmQafous.html
3,Toyota Camry 2009 Black,"₦ 1,850,000",6,https://jiji.ng/agboyi-ketu/cars/toyota-camry-2009-black-k0BsuayyVQ7LYIzuJy4qKyB6.html
4,Honda Accord Crosstour 2010 Red,"₦ 1,970,000",8,https://jiji.ng/ikorodu/cars/honda-accord-crosstour-2010-red-aPocf6h48bzTgtLac10yYd4.html
5,Lexus RX 330 2005 Silver,"₦ 2,850,000",9,https://jiji.ng/ajah/cars/lexus-rx-330-2005-silver-rYDHFJdxarOirRgCt5lvzRQM.html
6,Mercedes-Benz GLE-Class 2016 Silver,"₦ 18,250,000",10,https://jiji.ng/lekki/cars/mercedes-benz-gle-class-2016-silver-oTNs0itGvqXD9uOmNxZYeQTR.html
7,Mercedes-Benz C300 2010 Black,"₦ 2,500,000",7,https://jiji.ng/port-harcourt/cars/mercedes-benz-c300-2010-black-dKZCn0rwSyyAsW4dNx6psAnb.html
8,Mercedes-Benz C300 2015 Black,"₦ 9,000,000",7,https://jiji.ng/lekki/cars/mercedes-benz-c300-2015-black-dhS9MgpJxD4jTRhShS3kg4pO.html
9,Land Rover Range Rover Sport Supercharged Dynamic 2019 Gray,"₦ 58,500,000",10,https://jiji.ng/lekki/cars/land-rover-range-rover-sport-supercharged-dynamic-2019-gray-r4MpaWQ2jX3rmi9qgLGOEK1j.html
10,Honda Element 2003 Silver,"₦ 1,100,000",10,https://jiji.ng/ojodu/cars/honda-element-2003-silver-dyekSg0QMFAgDCMJZ8nTMksu.html
11,Land Rover Lr4 V8 2011 Green,"₦ 3,250,000",10,https://jiji.ng/ikorodu/cars/land-rover-lr4-v8-2011-green-A6SUs5AYWQqgM7SVLLc87xof.html
12,Honda City 2008 Gold,"₦ 1,300,000",7,https://jiji.ng/lokogoma/cars/honda-city-2008-gold-1twYBYrZZ3Cq578EjNIjTyQr.html
13,Toyota Camry 2010 Silver,"₦ 3,650,000",10,https://jiji.ng/ikeja/cars/toyota-camry-2010-silver-pIBVTcXmHhvVqANojDcj3Usg.html
14,Toyota RAV4 3.5 2008 Black,"₦ 2,250,000",9,https://jiji.ng/ajah/cars/toyota-rav4-3-5-2008-black-mfgglUJ9KCduh0EbDu46EfJF.html
15,Honda Accord 2009 Gray,"₦ 2,000,000",8,https://jiji.ng/gbagada/cars/honda-accord-2009-gray-wvpsUHPgDwYHYT5y5zO1MjvS.html
16,Chevrolet Aveo 1.4 Automatic 2012 Silver,"₦ 1,200,000",10,https://jiji.ng/ilorin-south/cars/chevrolet-aveo-1-4-automatic-2012-silver-5JuPtQAH6TtHXl8UcJ1w6E1V.html
17,Mercedes-Benz CLA-Class Base CLA 250 FWD 2016 Red,"₦ 8,800,000",9,https://jiji.ng/surulere/cars/mercedes-benz-cla-class-base-cla-250-fwd-2016-red-crfS4yFzbjHgyPO6ApMT3mLR.html
18,Toyota Land Cruiser Prado 2.7 i 16V 2005 Black,"₦ 3,680,000",10,https://jiji.ng/ajah/cars/toyota-land-cruiser-prado-2-7-i-16v-2005-black-wiojdSmZougr9BKdnIthttYs.html
19,Honda Accord 2014 Black,"₦ 4,650,000",9,https://jiji.ng/wuse-ii/cars/honda-accord-2014-black-2Vhkp4uIPRF9nD8yjACC8S2R.html
20,Lexus IS 2008 Red,"₦ 3,100,000",5,https://jiji.ng/oredo/cars/lexus-is-2008-red-8bDfx8P68gixeXDYZomsFUx6.html
21,Lexus RX 350 2010 Black,"₦ 8,500,000",6,https://jiji.ng/amuwo-odofin/cars/lexus-rx-350-2010-black-XMLRtgQltMg4d6CNlVYzSdd.html
22,Apple iPhone X 64 GB Black,"₦ 95,000",4,https://jiji.ng/surulere/mobile-phones/apple-iphone-x-64-gb-black-hzara8YnkNY4iUhETWo0RkV3.html
23,New Apple iPhone 13 Mini 256 GB,"₦ 240,000",2,https://jiji.ng/ikeja/mobile-phones/new-apple-iphone-13-mini-256-gb-6y9Va94UhcpBEyx5ddwDXlq4.html
24,Apple iPhone X 64 GB White,"₦ 98,000",5,https://jiji.ng/alimosho/mobile-phones/apple-iphone-x-64-gb-white-bc8y8gfaYSr30yMDFknRsSdl.html
25,Xiaomi Redmi Note 12 128 GB Black,"₦ 60,000",3,https://jiji.ng/ibadan/mobile-phones/xiaomi-redmi-note-12-128-gb-black-ir1h4vaCOCQKOHmEGlAHLfby.html
26,Apple iPhone 11 64 GB Yellow,"₦ 120,000",3,https://jiji.ng/ikeja/mobile-phones/apple-iphone-11-64-gb-yellow-s7HuzalQbYQd013CbEtNq3nA.html
27,Samsung Galaxy A80 128 GB Gold,"₦ 80,000",5,https://jiji.ng/chikun/mobile-phones/samsung-galaxy-a80-128-gb-gold-klVO0wjqcEZcfhdoNcjGGD7I.html
28,Sony Xperia 10 II 128 GB Blue,"₦ 80,000",2,https://jiji.ng/ikeja/mobile-phones/sony-xperia-10-ii-128-gb-blue-heOA9t1MB6c7YwECcFQnkv7e.html
29,Apple iPhone XS Max 256 GB Black,"₦ 175,000",2,https://jiji.ng/ikeja/mobile-phones/apple-iphone-xs-max-256-gb-black-Ba8O7XqkSNjwHPoIUL0fx5vO.html
30,Apple iPhone X 64 GB Black,"₦ 60,000",2,https://jiji.ng/port-harcourt/mobile-phones/apple-iphone-x-64-gb-black-ld1awRA9YuuJc9hOkY1DIQlC.html
31,Apple iPhone X 64 GB White,"₦ 100,000",4,https://jiji.ng/ife/mobile-phones/apple-iphone-x-64-gb-white-m8EfVl8EUroXWuyX8WAA0aaI.html
32,Itel P40+ 128 GB,"₦ 80,000",8,https://jiji.ng/uyo/mobile-phones/itel-p40-128-gb-hbG7iowILw9NpJy3QX5nFUTp.html
33,Tecno Spark 10 Pro 256 GB Blue,"₦ 110,000",2,https://jiji.ng/uyo/mobile-phones/tecno-spark-10-pro-256-gb-blue-dCzvcdlOH60SoW1diLbesYP7.html
34,Apple iPhone 6s Plus 32 GB Silver,"₦ 38,000",2,https://jiji.ng/ibadan/mobile-phones/apple-iphone-6s-plus-32-gb-silver-oWyFeKzXUO6yPn2aDFfEGAAj.html
35,Xiaomi Redmi Note 11 128 GB White,"₦ 105,000",4,https://jiji.ng/kaduna-north/mobile-phones/xiaomi-redmi-note-11-128-gb-white-yx5C8sJ5IACyi61rjWEf9ucP.html
36,Samsung Galaxy A02 32 GB Black,"₦ 38,000",4,https://jiji.ng/akungba/mobile-phones/samsung-galaxy-a02-32-gb-black-pCnvOwqSCP9c9IN6VHmprDo1.html
37,Google Pixel 5a 5G 128 GB,"₦ 139,000",4,https://jiji.ng/wuse-ii/mobile-phones/google-pixel-5a-5g-128-gb-pItLge5QSDv2BJXwDnTFBxVq.html
38,Apple iPhone 12 Pro Max 128 GB Gray,"₦ 250,000",4,https://jiji.ng/ikeja/mobile-phones/apple-iphone-12-pro-max-128-gb-gray-3hYAcHIIWe7xv8Y0eNqTzLZI.html
39,Samsung Galaxy C9 Pro 64 GB Gold,"₦ 60,000",7,https://jiji.ng/ikeja/mobile-phones/samsung-galaxy-c9-pro-64-gb-gold-uRQQXpeI3Me3g23y1Tg2PgED.html
40,Xiaomi Redmi 9C 128 GB Gray,"₦ 65,000",11,https://jiji.ng/ibadan/mobile-phones/xiaomi-redmi-9c-128-gb-gray-utVaIlccOQtraXzEee0wgIq5.html
41,Apple iPhone 8 Plus 64 GB Red,"₦ 80,000",3,https://jiji.ng/owerri-municipal/mobile-phones/apple-iphone-8-plus-64-gb-red-kGt3qxE7vXyJciSkbBpN6ncj.html
42,Apple iPhone X 256 GB Black,"₦ 135,000",3,https://jiji.ng/oredo/mobile-phones/apple-iphone-x-256-gb-black-q9KaJyqW2NisPb1XSRE85GtO.html
43,Samsung Galaxy S9 64 GB Purple,"₦ 72,000",2,https://jiji.ng/ilorin-west/mobile-phones/samsung-galaxy-s9-64-gb-purple-noUhd3dKsiQ7ClLF6RProfAw.html
44,Furnished 1bdrm Bungalow in Igando / Ikotun/Igando for rent,"₦ 160,000 per annum",5,https://jiji.ng/igando/houses-apartments-for-rent/furnished-1bdrm-bungalow-in-igando-ikotun-igando-for-rent-ayjtEDOI4KKvBtVYNFAjSVAd.html
45,2bdrm Apartment in Benin City for rent,"₦ 400,000 per annum",7,https://jiji.ng/oredo/houses-apartments-for-rent/2bdrm-apartment-in-benin-city-for-rent-3S1FASbj7xLZF4gOt6ZS1OWk.html
46,1bdrm Room & Parlour in Obafemi-Owode for rent,"₦ 200,000 per annum",8,https://jiji.ng/obafemi-owode/houses-apartments-for-rent/1bdrm-room-parlour-in-obafemi-owode-for-rent-uwLMAl308ZIqmPGoCJwDCxEw.html
47,1bdrm Apartment in Benin City for rent,"₦ 180,000 per annum",7,https://jiji.ng/oredo/houses-apartments-for-rent/1bdrm-apartment-in-benin-city-for-rent-n8bOTUouh09R53telp1qkcvi.html
48,Furnished 1bdrm Room & Parlour in Benin City for rent,"₦ 250,000 per annum",6,https://jiji.ng/oredo/houses-apartments-for-rent/furnished-1bdrm-room-parlour-in-benin-city-for-rent-vXVxyw5crQua4o9iXiD1dsyu.html
49,"2bdrm Apartment in United Estate, Sangotedo for rent","₦ 800,000 per annum",15,https://jiji.ng/sangotedo/houses-apartments-for-rent/2bdrm-apartment-in-united-estate-sangotedo-for-rent-BJfmLVcPf3B6UyvfiKSGtpkJ.html
50,2bdrm Apartment in Fruitful Estate for rent,"₦ 500,000 per annum",13,https://jiji.ng/igbogbo/houses-apartments-for-rent/2bdrm-apartment-in-fruitful-estate-for-rent-zWmLXs0A9Jb9WrU2mzuaf7lN.html
51,"Furnished Studio Apartment in Adebisi Taiwo, Aguda / Surulere for rent","₦ 300,000 per annum",7,https://jiji.ng/aguda/houses-apartments-for-rent/furnished-studio-apartment-in-adebisi-taiwo-aguda-surulere-for-rent-6qUHbHEOpclTziqXJiX81961.html
52,"Furnished 2bdrm Apartment in Command, Ipaja for rent","₦ 800,000 per annum",6,https://jiji.ng/ayobo-ipaja/houses-apartments-for-rent/furnished-2bdrm-apartment-in-command-ipaja-for-rent-uiXuVknPfSYWhY3aIc4MWIjD.html
53,2bdrm Apartment in Benin City for rent,"₦ 400,000 per annum",12,https://jiji.ng/oredo/houses-apartments-for-rent/2bdrm-apartment-in-benin-city-for-rent-B16MLpMnQMcsQxk3JDdd1SM.html
54,9bdrm Bungalow in Owerri for rent,"₦ 10,000 per annum",11,https://jiji.ng/owerri-municipal/houses-apartments-for-rent/9bdrm-bungalow-in-owerri-for-rent-zdRUunKpJrnV3zeJCglbYShj.html
55,Furnished 1bdrm Shared Apartment in Alimosho for rent,"₦ 250,000 per annum",7,https://jiji.ng/alimosho/houses-apartments-for-rent/furnished-1bdrm-shared-apartment-in-alimosho-for-rent-vb1LES1mbQCcY72yXZNa7FCi.html
56,Studio Apartment in Lokogoma for rent,"₦ 400,000 per annum",6,https://jiji.ng/lokogoma/houses-apartments-for-rent/studio-apartment-in-lokogoma-for-rent-p0G4GRIyWHIxALCGdbg0C1jD.html
57,Furnished 2bdrm Apartment in Abule Egba for rent,"₦ 450,000 per annum",9,https://jiji.ng/lagos-abule-egba/houses-apartments-for-rent/furnished-2bdrm-apartment-in-abule-egba-for-rent-xBa6tuUNUrLMnRnJs39UiagI.html
58,Furnished Mini Flat in Ikotun/Igando for rent,"₦ 130,000 per annum",5,https://jiji.ng/igando-ikotun/houses-apartments-for-rent/furnished-mini-flat-in-ikotun-igando-for-rent-pphkiAkmKRcAFqdxrONYdOk8.html
59,"1bdrm Duplex in Orchid, Lekki for rent","₦ 900,000 per annum",5,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-duplex-in-orchid-lekki-for-rent-yq5wDAeElPRpoXdmf4Mk6D3v.html
